"","items","count","total","rnd","customer","age","city","paymentType"
"2061","citrus fruit,whole milk,specialty bar,dish cleaner,cling film/bags",5,475,11,"Hanan",22,"Fayoum","Cash"
"2062","pork,frozen potato products,soda",3,1776,6,"Walaa",29,"Cairo","Cash"
"2064","other vegetables,whole milk,yogurt,spices",4,1523,3,"Ahmed",30,"Giza","Credit"
"2065","chicken,pork,beef,berries,sliced cheese,jam,shopping bags",7,1711,12,"Eman",23,"Aswan","Cash"
"2066","pip fruit,margarine",2,2377,4,"Adel",50,"Alexandria","Credit"
"2067","berries,chewing gum,seasonal products,newspapers",4,2227,3,"Ahmed",30,"Giza","Cash"
"2068","whole milk,specialty bar",2,2067,3,"Ahmed",30,"Giza","Credit"
"2069","chicken,canned beer,shopping bags",3,2490,5,"Shimaa",55,"Port Said","Credit"
"2070","pork,onions,pastry,potato products,bottled water",5,235,9,"Maged",60,"Hurghada","Credit"
"2071","whole milk,specialty fat,soda",3,1248,3,"Ahmed",30,"Giza","Cash"
"2072","pork,tropical fruit,berries,whole milk,yogurt,white bread,oil",7,250,12,"Eman",23,"Aswan","Credit"
"2073","cat food,chocolate",2,1012,7,"Huda",39,"Gharbia","Cash"
"2074","finished products,citrus fruit,yogurt,pastry,soda,waffles,shopping bags",7,1103,3,"Ahmed",30,"Giza","Cash"
"2075","brown bread,margarine,long life bakery product,flower (seeds)",4,2025,1,"Farida",22,"Cairo","Cash"
"2076","berries,dessert,whipped/sour cream,bottled water,soda,fruit/vegetable juice,white wine",7,1720,1,"Farida",22,"Cairo","Cash"
"2077","ham,whole milk,domestic eggs,pastry,oil,baking powder,chewing gum,chocolate marshmallow",8,507,13,"Sayed",37,"Cairo","Credit"
"2078","fish,brown bread,pet care,napkins",4,2050,3,"Ahmed",30,"Giza","Credit"
"2079","pastry,canned beer,shopping bags",3,1910,2,"Mohamed",25,"Alexandria","Credit"
"2080","sausage,pastry",2,532,10,"Samy",55,"Alexandria","Credit"
"2081","whole milk,yogurt,spread cheese,semi-finished bread,baking powder,soda,cake bar,chocolate,specialty bar",9,246,4,"Adel",50,"Alexandria","Credit"
"2082","bottled beer",1,1521,15,"Sameh",35,"Hurghada","Cash"
"2083","whole milk,brown bread",2,964,11,"Hanan",22,"Fayoum","Credit"
"2084","sausage,root vegetables,white bread,roll products ,semi-finished bread,soda,napkins",7,2385,4,"Adel",50,"Alexandria","Cash"
"2085","soda,chocolate,chocolate marshmallow",3,355,9,"Maged",60,"Hurghada","Credit"
"2086","ham,whole milk,dessert,processed cheese,bottled water,soda,fruit/vegetable juice,chocolate",8,1077,12,"Eman",23,"Aswan","Cash"
"2087","bottled beer,canned beer",2,519,14,"Magdy",36,"Sohag","Cash"
"2088","sausage,ham,whole milk,dessert,margarine,baking powder,bottled water",7,1288,14,"Magdy",36,"Sohag","Cash"
"2089","sausage,chicken,other vegetables,whole milk,yogurt,cream cheese ,brown bread,soda",8,1190,6,"Walaa",29,"Cairo","Cash"
"2091","sausage,rolls/buns,white wine",3,1852,13,"Sayed",37,"Cairo","Credit"
"2092","pork",1,219,5,"Shimaa",55,"Port Said","Credit"
"2093","root vegetables,yogurt,beverages,domestic eggs,white bread,cat food",6,1335,6,"Walaa",29,"Cairo","Credit"
"2094","citrus fruit,whole milk,baking powder,cocoa drinks,skin care,shopping bags",6,2442,7,"Huda",39,"Gharbia","Credit"
"2095","other vegetables",1,578,14,"Magdy",36,"Sohag","Cash"
"2096","whole milk,soda",2,1650,1,"Farida",22,"Cairo","Cash"
"2097","yogurt,ice cream,white bread,sweet spreads,shopping bags",5,1783,5,"Shimaa",55,"Port Said","Credit"
"2098","UHT-milk,mayonnaise,rolls/buns,pickled vegetables,soda,hygiene articles,shopping bags",7,1034,9,"Maged",60,"Hurghada","Credit"
"2099","citrus fruit,tropical fruit,pip fruit,other vegetables,rolls/buns,misc. beverages,fruit/vegetable juice",7,2398,13,"Sayed",37,"Cairo","Cash"
"2100","citrus fruit,pip fruit,whole milk,bottled water",4,374,13,"Sayed",37,"Cairo","Cash"
"2101","whole milk,butter milk,whipped/sour cream,ice cream,brown bread,specialty chocolate,candy,dish cleaner",8,533,6,"Walaa",29,"Cairo","Credit"
"2102","canned beer",1,1284,8,"Rania",37,"Dakahlia","Cash"
"2103","rolls/buns,sugar,sweet spreads,chewing gum,newspapers",5,1199,7,"Huda",39,"Gharbia","Cash"
"2104","sausage,rolls/buns,soda",3,306,8,"Rania",37,"Dakahlia","Credit"
"2105","frozen fish,bottled beer",2,2279,6,"Walaa",29,"Cairo","Credit"
"2106","other vegetables,whole milk,baking powder,coffee,flower (seeds)",5,2126,2,"Mohamed",25,"Alexandria","Cash"
"2107","rolls/buns,soda",2,1527,14,"Magdy",36,"Sohag","Cash"
"2108","tropical fruit,other vegetables,whole milk,frozen vegetables,pastry,cake bar",6,2397,1,"Farida",22,"Cairo","Cash"
"2109","butter milk,hard cheese",2,776,7,"Huda",39,"Gharbia","Cash"
"2110","sausage,butter milk,soft cheese,rolls/buns,instant coffee,shopping bags",6,870,10,"Samy",55,"Alexandria","Credit"
"2111","pastry,soda",2,832,7,"Huda",39,"Gharbia","Cash"
"2112","spread cheese,fruit/vegetable juice",2,1944,15,"Sameh",35,"Hurghada","Credit"
"2113","rolls/buns,sweet spreads,canned fish,chewing gum,newspapers",5,1454,2,"Mohamed",25,"Alexandria","Credit"
"2114","frankfurter,onions,candy,detergent",4,1807,12,"Eman",23,"Aswan","Cash"
"2115","frankfurter,pip fruit,newspapers",3,1880,12,"Eman",23,"Aswan","Cash"
"2116","condensed milk,pastry,coffee,soda,red/blush wine,salty snack,nut snack,long life bakery product,waffles,cookware",10,207,9,"Maged",60,"Hurghada","Cash"
"2117","rolls/buns,canned beer",2,391,8,"Rania",37,"Dakahlia","Credit"
"2118","frankfurter,whole milk,brown bread,cake bar,specialty bar,shopping bags",6,307,14,"Magdy",36,"Sohag","Cash"
"2119","rolls/buns,bottled beer",2,2168,2,"Mohamed",25,"Alexandria","Cash"
"2120","rolls/buns,white bread,dish cleaner,shopping bags",4,932,6,"Walaa",29,"Cairo","Credit"
"2121","other vegetables,whole milk,soda,chocolate",4,1286,10,"Samy",55,"Alexandria","Cash"
"2122","sausage,tropical fruit,other vegetables,whole milk,yogurt,coffee,shopping bags",7,123,6,"Walaa",29,"Cairo","Credit"
"2123","coffee",1,140,13,"Sayed",37,"Cairo","Cash"
"2124","pip fruit,other vegetables,whole milk,yogurt,beverages,frozen potato products,rolls/buns,fruit/vegetable juice",8,2052,14,"Magdy",36,"Sohag","Credit"
"2125","citrus fruit,pip fruit",2,1536,12,"Eman",23,"Aswan","Credit"
"2126","flour,bottled water,chocolate,specialty chocolate",4,1840,4,"Adel",50,"Alexandria","Cash"
"2127","frankfurter,rolls/buns",2,1021,5,"Shimaa",55,"Port Said","Credit"
"2128","soda",1,807,15,"Sameh",35,"Hurghada","Cash"
"2129","soda",1,1391,14,"Magdy",36,"Sohag","Credit"
"2130","root vegetables",1,2494,10,"Samy",55,"Alexandria","Cash"
"2131","pork,whole milk,rolls/buns,artif. sweetener,baking powder,specialty chocolate,house keeping products,newspapers",8,2024,8,"Rania",37,"Dakahlia","Cash"
"2132","frozen vegetables,rolls/buns,pastry",3,694,2,"Mohamed",25,"Alexandria","Cash"
"2133","tropical fruit,other vegetables,whole milk,frozen meals",4,2303,6,"Walaa",29,"Cairo","Cash"
"2134","citrus fruit,whole milk,whipped/sour cream,rolls/buns,pastry",5,2368,8,"Rania",37,"Dakahlia","Credit"
"2135","frankfurter,beef,other vegetables,rolls/buns",4,2383,9,"Maged",60,"Hurghada","Credit"
"2136","other vegetables,whole milk,rolls/buns,vinegar,margarine,soda,waffles",7,1899,13,"Sayed",37,"Cairo","Credit"
"2137","sweet spreads,cat food",2,1748,11,"Hanan",22,"Fayoum","Cash"
"2138","frankfurter,sausage,other vegetables,domestic eggs,ketchup,canned fish,soda,long life bakery product,shopping bags",9,1826,1,"Farida",22,"Cairo","Credit"
"2139","pork,beef,other vegetables,hard cheese,cream cheese ,rolls/buns,brown bread,napkins",8,2162,7,"Huda",39,"Gharbia","Cash"
"2140","sausage,ham,finished products,frozen meals,salty snack,long life bakery product,waffles,shopping bags",8,1866,5,"Shimaa",55,"Port Said","Cash"
"2141","pip fruit,soda",2,1225,9,"Maged",60,"Hurghada","Cash"
"2142","bottled beer,canned beer",2,1560,8,"Rania",37,"Dakahlia","Credit"
"2143","beverages",1,745,11,"Hanan",22,"Fayoum","Cash"
"2144","liver loaf,whole milk,yogurt",3,2419,2,"Mohamed",25,"Alexandria","Cash"
"2145","frankfurter,onions,soft cheese,white bread,pastry,salt,chocolate,newspapers,shopping bags",9,1152,14,"Magdy",36,"Sohag","Credit"
"2146","berries,onions,whipped/sour cream,brown bread,pasta,liquor,dishes",7,792,3,"Ahmed",30,"Giza","Credit"
"2147","curd,tidbits,soda",3,295,13,"Sayed",37,"Cairo","Cash"
"2148","sausage,whole milk,bottled beer",3,2299,8,"Rania",37,"Dakahlia","Credit"
"2149","onions,whole milk,curd,yogurt,hard cheese,domestic eggs,bottled water,cleaner",8,619,4,"Adel",50,"Alexandria","Cash"
"2150","soda",1,750,6,"Walaa",29,"Cairo","Cash"
"2151","soda,bottled beer",2,833,15,"Sameh",35,"Hurghada","Credit"
"2152","chicken,citrus fruit,yogurt,UHT-milk,soft cheese,rolls/buns,margarine,mustard,coffee,kitchen towels,candles",11,2382,3,"Ahmed",30,"Giza","Cash"
"2153","cream cheese ",1,1112,1,"Farida",22,"Cairo","Cash"
"2154","bottled water,fruit/vegetable juice",2,799,14,"Magdy",36,"Sohag","Cash"
"2155","chocolate",1,1293,14,"Magdy",36,"Sohag","Credit"
"2156","cream cheese ,white bread,sweet spreads,cat food,coffee,syrup,specialty bar",7,2299,8,"Rania",37,"Dakahlia","Credit"
"2157","whole milk,soda,canned beer,liquor (appetizer),newspapers",5,2214,5,"Shimaa",55,"Port Said","Credit"
"2158","whole milk,domestic eggs,rolls/buns,brown bread,specialty chocolate,shopping bags",6,2242,15,"Sameh",35,"Hurghada","Cash"
"2159","fruit/vegetable juice",1,1548,6,"Walaa",29,"Cairo","Credit"
"2160","onions,spread cheese",2,923,15,"Sameh",35,"Hurghada","Cash"
"2161","tropical fruit,other vegetables,yogurt,mayonnaise,mustard,newspapers",6,1524,1,"Farida",22,"Cairo","Cash"
"2162","tropical fruit,grapes,other vegetables,bottled beer,popcorn",5,123,1,"Farida",22,"Cairo","Cash"
"2163","pastry",1,2081,13,"Sayed",37,"Cairo","Credit"
"2164","hamburger meat,semi-finished bread,Instant food products",3,105,1,"Farida",22,"Cairo","Credit"
"2165","frankfurter",1,1352,5,"Shimaa",55,"Port Said","Cash"
"2166","tropical fruit,other vegetables,whole milk,curd,frozen dessert,rolls/buns,margarine,jam",8,183,5,"Shimaa",55,"Port Said","Credit"
"2167","butter",1,578,15,"Sameh",35,"Hurghada","Credit"
"2168","rolls/buns,misc. beverages",2,844,15,"Sameh",35,"Hurghada","Credit"
"2169","sausage,beef,other vegetables,frozen fish,domestic eggs,roll products ,margarine,sugar,baking powder,coffee,kitchen towels,shopping bags",12,1464,6,"Walaa",29,"Cairo","Cash"
"2171","tropical fruit,other vegetables",2,1247,10,"Samy",55,"Alexandria","Cash"
"2172","pork,beef,root vegetables,whole milk,pasta,margarine,jam,bottled water",8,1880,14,"Magdy",36,"Sohag","Cash"
"2173","whole milk",1,1534,9,"Maged",60,"Hurghada","Credit"
"2174","hamburger meat,rolls/buns",2,2048,13,"Sayed",37,"Cairo","Credit"
"2175","frankfurter,frozen potato products",2,1417,6,"Walaa",29,"Cairo","Credit"
"2176","sausage,beef,citrus fruit,sweet spreads,coffee",5,709,11,"Hanan",22,"Fayoum","Credit"
"2177","other vegetables,bottled beer",2,962,2,"Mohamed",25,"Alexandria","Credit"
"2178","ham,onions,other vegetables,brown bread,margarine",5,1710,13,"Sayed",37,"Cairo","Credit"
"2179","bottled beer",1,2020,5,"Shimaa",55,"Port Said","Cash"
"2180","pip fruit,soda,cake bar,specialty chocolate",4,1733,9,"Maged",60,"Hurghada","Credit"
"2181","pasta,vinegar,soda,fruit/vegetable juice,sparkling wine,napkins",6,2044,4,"Adel",50,"Alexandria","Credit"
"2182","pip fruit,nuts/prunes,curd,frozen dessert,sweet spreads,light bulbs",6,1866,8,"Rania",37,"Dakahlia","Credit"
"2183","pork,dessert,soda,shopping bags",4,1052,6,"Walaa",29,"Cairo","Cash"
"2184","frankfurter,sausage,other vegetables,hard cheese,rolls/buns",5,1544,12,"Eman",23,"Aswan","Credit"
"2185","rolls/buns,rum",2,1665,11,"Hanan",22,"Fayoum","Credit"
"2187","tropical fruit,cream cheese ,chocolate",3,2288,4,"Adel",50,"Alexandria","Cash"
"2188","chicken,hamburger meat,other vegetables",3,234,12,"Eman",23,"Aswan","Cash"
"2189","whole milk,yogurt",2,261,2,"Mohamed",25,"Alexandria","Credit"
"2190","ham",1,129,8,"Rania",37,"Dakahlia","Credit"
"2191","soda",1,1086,5,"Shimaa",55,"Port Said","Cash"
"2192","chicken,hamburger meat,other vegetables",3,2003,14,"Magdy",36,"Sohag","Credit"
"2193","canned beer",1,323,11,"Hanan",22,"Fayoum","Cash"
"2194","pip fruit,pastry",2,1435,6,"Walaa",29,"Cairo","Cash"
"2195","tropical fruit,pip fruit,whole milk,cream cheese ,frozen dessert,rolls/buns,bottled water,waffles,napkins,dishes",10,2004,10,"Samy",55,"Alexandria","Credit"
"2196","domestic eggs,rolls/buns",2,1295,3,"Ahmed",30,"Giza","Cash"
"2197","meat,pork,tropical fruit,whole milk,curd,rolls/buns,cat food,bottled water,soda",9,1972,3,"Ahmed",30,"Giza","Cash"
"2198","citrus fruit,male cosmetics",2,2071,5,"Shimaa",55,"Port Said","Credit"
"2199","sausage,citrus fruit,pip fruit,root vegetables,herbs,other vegetables,curd,yogurt,soft cheese,cat food,shopping bags",11,1597,14,"Magdy",36,"Sohag","Cash"
"2200","rolls/buns,tea",2,1196,9,"Maged",60,"Hurghada","Credit"
"2201","light bulbs",1,1361,8,"Rania",37,"Dakahlia","Credit"
"2202","rolls/buns,newspapers",2,1821,3,"Ahmed",30,"Giza","Credit"
"2203","meat,tropical fruit,beverages,sweet spreads,shopping bags",5,1597,13,"Sayed",37,"Cairo","Credit"
"2204","root vegetables,herbs,frozen vegetables,bottled water,shopping bags",5,1836,10,"Samy",55,"Alexandria","Credit"
"2205","tropical fruit,zwieback,bottled water",3,1833,11,"Hanan",22,"Fayoum","Cash"
"2206","citrus fruit,tropical fruit,pip fruit,berries,bottled water,soda,red/blush wine",7,983,5,"Shimaa",55,"Port Said","Credit"
"2207","whole milk,beverages,frozen meals,frozen dessert",4,1583,5,"Shimaa",55,"Port Said","Cash"
"2208","margarine,napkins",2,1280,7,"Huda",39,"Gharbia","Cash"
"2210","dessert,rolls/buns,bottled water,specialty bar",4,1937,7,"Huda",39,"Gharbia","Cash"
"2211","beef,whipped/sour cream,napkins",3,962,9,"Maged",60,"Hurghada","Cash"
"2212","other vegetables,beverages,domestic eggs,brown bread,pastry,soda,newspapers",7,779,10,"Samy",55,"Alexandria","Credit"
"2213","tropical fruit,other vegetables,whole milk,mustard,bottled water",5,1298,9,"Maged",60,"Hurghada","Cash"
"2214","chicken,beef,citrus fruit,tropical fruit,pip fruit,root vegetables,other vegetables,whole milk,rolls/buns",9,277,5,"Shimaa",55,"Port Said","Cash"
"2215","brown bread,fruit/vegetable juice,newspapers,shopping bags",4,1328,10,"Samy",55,"Alexandria","Credit"
"2216","sausage,hamburger meat,whole milk,pastry,shopping bags",5,2306,10,"Samy",55,"Alexandria","Cash"
"2217","hamburger meat,whole milk,curd,rolls/buns,Instant food products,hygiene articles,napkins",7,1534,12,"Eman",23,"Aswan","Credit"
"2218","pork,root vegetables,onions,other vegetables,yogurt,domestic eggs",6,693,1,"Farida",22,"Cairo","Cash"
"2219","sausage,citrus fruit,tropical fruit,pip fruit,flour,baking powder",6,312,1,"Farida",22,"Cairo","Cash"
"2220","soda",1,1468,8,"Rania",37,"Dakahlia","Cash"
"2221","sweet spreads,soda,waffles",3,2425,13,"Sayed",37,"Cairo","Cash"
"2222","pastry,instant coffee",2,2390,2,"Mohamed",25,"Alexandria","Cash"
"2223","other vegetables,whole milk,pastry,flour,margarine,canned fish,long life bakery product,chocolate",8,1142,4,"Adel",50,"Alexandria","Credit"
"2224","root vegetables,whole milk,yogurt,jam,bottled water,soda,bottled beer,specialty chocolate,hygiene articles",9,192,15,"Sameh",35,"Hurghada","Credit"
"2225","whipped/sour cream,pastry,canned fish,soda,waffles,dish cleaner,napkins",7,1984,7,"Huda",39,"Gharbia","Cash"
"2226","whole milk,hard cheese,coffee",3,410,11,"Hanan",22,"Fayoum","Cash"
"2227","whole milk,whipped/sour cream,specialty cheese,domestic eggs,dog food,soda,chewing gum",7,1361,1,"Farida",22,"Cairo","Credit"
"2228","citrus fruit,whole milk,butter,pastry,semi-finished bread,coffee,candy,newspapers,shopping bags",9,849,9,"Maged",60,"Hurghada","Cash"
"2229","other vegetables,whipped/sour cream",2,695,5,"Shimaa",55,"Port Said","Cash"
"2230","pork,root vegetables,sliced cheese,frozen vegetables,frozen potato products,mustard,bottled water,fruit/vegetable juice,napkins,shopping bags",10,528,13,"Sayed",37,"Cairo","Cash"
"2231","pip fruit,onions,whole milk",3,990,6,"Walaa",29,"Cairo","Cash"
"2232","bottled beer",1,182,13,"Sayed",37,"Cairo","Cash"
"2233","other vegetables",1,738,2,"Mohamed",25,"Alexandria","Credit"
"2234","whole milk,curd,yogurt,whipped/sour cream,canned vegetables,soda,shopping bags",7,980,9,"Maged",60,"Hurghada","Credit"
"2235","pastry,soda",2,520,15,"Sameh",35,"Hurghada","Credit"
"2236","sausage,brown bread,meat spreads,canned fish",4,789,7,"Huda",39,"Gharbia","Cash"
"2237","sausage,liver loaf,specialty cheese,soda",4,1528,10,"Samy",55,"Alexandria","Cash"
"2238","salty snack",1,1588,14,"Magdy",36,"Sohag","Credit"
"2239","dessert",1,782,7,"Huda",39,"Gharbia","Cash"
"2240","pork,hamburger meat,herbs,yogurt,hard cheese,brown bread,sweet spreads,soda",8,153,13,"Sayed",37,"Cairo","Credit"
"2241","frankfurter,sausage,tropical fruit,whole milk,frozen fish,white wine,chewing gum,newspapers",8,1490,15,"Sameh",35,"Hurghada","Cash"
"2242","butter",1,1339,7,"Huda",39,"Gharbia","Cash"
"2243","other vegetables,white bread,margarine,canned beer,rum",5,961,8,"Rania",37,"Dakahlia","Cash"
"2244","liver loaf,rolls/buns,soda",3,1221,12,"Eman",23,"Aswan","Cash"
"2245","frankfurter,sausage,hard cheese,soda,nut snack,shopping bags",6,1859,7,"Huda",39,"Gharbia","Credit"
"2246","whole milk,curd,butter milk,beverages,tidbits,long life bakery product,waffles,dental care",8,1874,5,"Shimaa",55,"Port Said","Credit"
"2247","frankfurter,chicken,brown bread,oil",4,1892,10,"Samy",55,"Alexandria","Cash"
"2248","root vegetables,bottled water,bottled beer",3,1758,8,"Rania",37,"Dakahlia","Credit"
"2249","soda",1,2294,2,"Mohamed",25,"Alexandria","Cash"
"2250","butter,yogurt,whipped/sour cream",3,2226,9,"Maged",60,"Hurghada","Cash"
"2251","cat food,bottled water,white wine,shopping bags",4,2475,2,"Mohamed",25,"Alexandria","Cash"
"2252","chewing gum",1,2034,3,"Ahmed",30,"Giza","Credit"
"2253","berries,root vegetables,whole milk,whipped/sour cream,shopping bags",5,1575,12,"Eman",23,"Aswan","Credit"
"2254","other vegetables",1,1036,14,"Magdy",36,"Sohag","Cash"
"2255","yogurt,rolls/buns",2,2198,4,"Adel",50,"Alexandria","Cash"
"2256","tropical fruit,other vegetables,whole milk,fruit/vegetable juice,long life bakery product,shopping bags",6,315,5,"Shimaa",55,"Port Said","Cash"
"2257","whole milk",1,472,9,"Maged",60,"Hurghada","Credit"
"2258","curd,canned beer,waffles,candy",4,2310,5,"Shimaa",55,"Port Said","Credit"
"2259","whole milk,butter,hard cheese,white wine",4,2334,12,"Eman",23,"Aswan","Credit"
"2260","bottled water",1,584,11,"Hanan",22,"Fayoum","Credit"
"2261","soda,chocolate,specialty chocolate",3,2441,13,"Sayed",37,"Cairo","Cash"
"2263","oil,fruit/vegetable juice",2,1536,6,"Walaa",29,"Cairo","Credit"
"2264","hamburger meat,whole milk,whipped/sour cream",3,1808,14,"Magdy",36,"Sohag","Cash"
"2265","onions,yogurt,frozen vegetables",3,2433,6,"Walaa",29,"Cairo","Credit"
"2266","pork,cat food",2,363,8,"Rania",37,"Dakahlia","Cash"
"2267","pip fruit,yogurt,sliced cheese,frozen vegetables,domestic eggs,pickled vegetables,specialty vegetables,female sanitary products,napkins",9,2255,14,"Magdy",36,"Sohag","Credit"
"2268","pork,beef,root vegetables,curd,sliced cheese,soda,canned beer",7,1072,12,"Eman",23,"Aswan","Cash"
"2269","citrus fruit,pip fruit",2,701,12,"Eman",23,"Aswan","Credit"
"2270","yogurt,pastry",2,1599,6,"Walaa",29,"Cairo","Cash"
"2271","frankfurter,other vegetables,yogurt,beverages,hard cheese,rolls/buns,canned fish,soda,canned beer,brandy,shopping bags",11,776,13,"Sayed",37,"Cairo","Cash"
"2272","frankfurter,ham,pip fruit,domestic eggs",4,2462,5,"Shimaa",55,"Port Said","Cash"
"2273","brown bread",1,1862,5,"Shimaa",55,"Port Said","Cash"
"2274","root vegetables,herbs,other vegetables,yogurt,brandy,salty snack,waffles,skin care,shopping bags",9,116,5,"Shimaa",55,"Port Said","Credit"
"2275","dish cleaner,napkins",2,1068,3,"Ahmed",30,"Giza","Credit"
"2276","yogurt,organic products,shopping bags",3,322,3,"Ahmed",30,"Giza","Cash"
"2277","sausage,pip fruit,other vegetables,yogurt,mustard,fruit/vegetable juice,shopping bags",7,496,8,"Rania",37,"Dakahlia","Cash"
"2278","sauces,specialty chocolate",2,503,15,"Sameh",35,"Hurghada","Cash"
"2279","brown bread,pastry,pasta",3,629,4,"Adel",50,"Alexandria","Credit"
"2280","citrus fruit,tropical fruit,whole milk,butter milk,beverages,soda,shopping bags",7,2047,8,"Rania",37,"Dakahlia","Credit"
"2281","cream cheese ,ice cream,white bread,specialty chocolate",4,269,10,"Samy",55,"Alexandria","Cash"
"2282","beverages,soft cheese,rolls/buns,sugar,misc. beverages,candy",6,2120,2,"Mohamed",25,"Alexandria","Cash"
"2283","curd,whipped/sour cream,pudding powder,candy,flower (seeds),shopping bags",6,1409,2,"Mohamed",25,"Alexandria","Cash"
"2284","ice cream,chocolate marshmallow",2,1952,4,"Adel",50,"Alexandria","Cash"
"2285","hard cheese,soda",2,844,14,"Magdy",36,"Sohag","Cash"
"2286","detergent,decalcifier,hygiene articles",3,1975,4,"Adel",50,"Alexandria","Cash"
"2287","bottled water,soda,bottled beer,dental care",4,2184,14,"Magdy",36,"Sohag","Cash"
"2288","soda,specialty bar",2,1609,13,"Sayed",37,"Cairo","Credit"
"2289","pip fruit,other vegetables,whipped/sour cream,oil",4,355,1,"Farida",22,"Cairo","Cash"
"2290","whole milk,butter milk,yogurt",3,1807,2,"Mohamed",25,"Alexandria","Credit"
"2291","waffles",1,1444,12,"Eman",23,"Aswan","Cash"
"2292","sausage,other vegetables,dessert,canned vegetables",4,881,10,"Samy",55,"Alexandria","Credit"
"2293","chicken,pip fruit,UHT-milk,bottled water,bottled beer,shopping bags",6,1390,6,"Walaa",29,"Cairo","Cash"
"2294","beverages,rolls/buns",2,1242,13,"Sayed",37,"Cairo","Credit"
"2295","ice cream,frozen dessert,salty snack",3,220,8,"Rania",37,"Dakahlia","Cash"
"2296","butter,sliced cheese,misc. beverages,fruit/vegetable juice",4,1891,7,"Huda",39,"Gharbia","Credit"
"2297","beverages,waffles",2,2256,10,"Samy",55,"Alexandria","Credit"
"2298","frankfurter,tropical fruit,dessert,rolls/buns,brown bread,seasonal products,flower (seeds)",7,1274,10,"Samy",55,"Alexandria","Cash"
"2299","detergent",1,2067,13,"Sayed",37,"Cairo","Credit"
"2300","sausage,citrus fruit,pip fruit,whole milk,curd,domestic eggs,margarine,newspapers",8,1617,4,"Adel",50,"Alexandria","Cash"
"2301","chicken,other vegetables,whole milk,cream cheese ,hygiene articles",5,2482,9,"Maged",60,"Hurghada","Cash"
"2302","yogurt,bottled beer,liquor (appetizer),chewing gum",4,1455,3,"Ahmed",30,"Giza","Cash"
"2303","whole milk,yogurt,oil,bottled water,bottled beer,salty snack,specialty chocolate",7,768,8,"Rania",37,"Dakahlia","Credit"
"2304","yogurt,bottled water",2,434,5,"Shimaa",55,"Port Said","Cash"
"2305","whipped/sour cream",1,2166,14,"Magdy",36,"Sohag","Cash"
"2306","whole milk,yogurt,hard cheese,rolls/buns,bottled water",5,1664,7,"Huda",39,"Gharbia","Credit"
"2307","citrus fruit,whole milk,butter milk,yogurt,baking powder",5,501,11,"Hanan",22,"Fayoum","Cash"
"2308","whole milk",1,446,9,"Maged",60,"Hurghada","Cash"
"2309","citrus fruit,flour,pasta,margarine,sugar,baking powder,soda",7,601,8,"Rania",37,"Dakahlia","Credit"
"2310","pork,other vegetables,whole milk,canned fish,coffee,specialty bar,candy",7,1267,8,"Rania",37,"Dakahlia","Cash"
"2311","beverages",1,798,4,"Adel",50,"Alexandria","Credit"
"2312","UHT-milk,hygiene articles,cling film/bags,newspapers",4,519,14,"Magdy",36,"Sohag","Cash"
"2313","beef,whole milk,frozen vegetables,sweet spreads,candy,dish cleaner,dental care,photo/film",8,2084,3,"Ahmed",30,"Giza","Credit"
"2314","other vegetables",1,813,15,"Sameh",35,"Hurghada","Credit"
"2315","whole milk,yogurt,rolls/buns,bottled water",4,2486,1,"Farida",22,"Cairo","Cash"
"2316","frankfurter,citrus fruit,tropical fruit,other vegetables,whole milk,candles",6,1639,13,"Sayed",37,"Cairo","Credit"
"2317","yogurt,rolls/buns,pastry,soda",4,1720,5,"Shimaa",55,"Port Said","Cash"
"2318","canned beer",1,148,9,"Maged",60,"Hurghada","Credit"
"2319","canned beer",1,2127,1,"Farida",22,"Cairo","Cash"
"2320","other vegetables,yogurt,whipped/sour cream,newspapers",4,1685,10,"Samy",55,"Alexandria","Credit"
"2321","frankfurter,sausage,other vegetables,brown bread,flour,bottled water,candy",7,441,8,"Rania",37,"Dakahlia","Credit"
"2322","canned beer",1,2482,6,"Walaa",29,"Cairo","Credit"
"2323","pork,herbs,other vegetables,processed cheese,cake bar",5,2386,9,"Maged",60,"Hurghada","Cash"
"2325","chocolate,specialty bar",2,801,5,"Shimaa",55,"Port Said","Credit"
"2326","citrus fruit,tropical fruit,fruit/vegetable juice",3,474,5,"Shimaa",55,"Port Said","Credit"
"2327","specialty fat,sugar,cat food",3,1695,15,"Sameh",35,"Hurghada","Cash"
"2328","spread cheese,rolls/buns,brown bread,soda",4,2164,9,"Maged",60,"Hurghada","Credit"
"2329","whole milk,beverages,bottled water,cake bar,newspapers",5,627,4,"Adel",50,"Alexandria","Cash"
"2330","whole milk,pastry",2,1965,8,"Rania",37,"Dakahlia","Credit"
"2331","whole milk,pastry",2,2263,10,"Samy",55,"Alexandria","Credit"
"2332","hygiene articles",1,872,9,"Maged",60,"Hurghada","Cash"
"2333","beef,citrus fruit,root vegetables,whole milk,rolls/buns,pastry,coffee,seasonal products",8,2286,15,"Sameh",35,"Hurghada","Cash"
"2334","meat,beef,root vegetables,butter,flour,fruit/vegetable juice,whisky,white wine,napkins",9,659,3,"Ahmed",30,"Giza","Credit"
"2335","beef,other vegetables,whole milk,rolls/buns",4,284,5,"Shimaa",55,"Port Said","Cash"
"2336","pip fruit,whole milk,yogurt",3,384,14,"Magdy",36,"Sohag","Credit"
"2337","other vegetables,rolls/buns",2,2342,7,"Huda",39,"Gharbia","Cash"
